Ticker,Link,Labels
MMM,https://seekingalpha.com/article/4065316-3m-mmm-q1-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $2.16 <span class=""green"">beats by $0.10</span></div>\n<div>Revenue of $7.69B (+ 3.8% Y/Y) <span class=""green""> beats by $220M</span></div>\n</div>]"
MMM,https://seekingalpha.com/article/4039094-3ms-mmm-ceo-inge-thulin-q4-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.88 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $7.33B (+ 0.4% Y/Y) <span class=""""> </span></div>\n</div>]"
MMM,https://seekingalpha.com/article/4014723-3m-mmm-q3-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $2.15 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $7.71B (+ 0.0% Y/Y) <span class=""""> </span></div>\n</div>]"
MMM,https://seekingalpha.com/article/3991631-3m-mmm-inge-g-thulin-q2-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $2.08 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $7.67B (- 0.3% Y/Y) <span class=""red""> misses by $-40M</span></div>\n</div>]"
MMM,https://seekingalpha.com/article/3968135-3ms-mmm-ceo-inge-thulin-q1-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $2.05 <span class=""green"">beats by $0.13</span></div>\n<div>Revenue of $7.41B (- 2.2% Y/Y) <span class=""green""> beats by $80M</span></div>\n</div>]"
ABT,https://seekingalpha.com/article/4063446-abbott-laboratories-abt-ceo-miles-white-q1-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.48 <span class=""green"">beats by $0.05</span></div>\n<div>Revenue of $6.34B (+ 29.9% Y/Y) <span class=""green""> beats by $190M</span></div>\n</div>]"
ABT,https://seekingalpha.com/article/4039377-abbott-laboratories-abt-ceo-miles-white-q4-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.65 <span class=""""> </span></div>\n<div>Revenue of $5.33B (+ 2.7% Y/Y) <span class=""red""> misses by $-50M</span></div>\n</div>]"
ABT,https://seekingalpha.com/article/4013151-abbott-laboratories-abt-ceo-miles-white-q3-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.59 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $5.3B (+ 2.9% Y/Y) <span class=""green""> beats by $10M</span></div>\n</div>]"
ABT,https://seekingalpha.com/article/3989906-abbott-laboratories-abt-miles-d-white-q2-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.55 <span class=""green"">beats by $0.02</span></div>\n<div>Revenue of $5.33B (+ 3.1% Y/Y) <span class=""green""> beats by $90M</span></div>\n</div>]"
ABT,https://seekingalpha.com/article/3966643-abbott-laboratories-abt-miles-d-white-q1-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.41 <span class=""green"">beats by $0.02</span></div>\n<div>Revenue of $4.89B (- 0.2% Y/Y) <span class=""green""> beats by $110M</span></div>\n</div>]"
ABT,https://seekingalpha.com/article/3844716-abbott-laboratories-abt-ceo-miles-white-q4-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.62 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $5.19B (- 3.2% Y/Y) <span class=""red""> misses by $-80M</span></div>\n</div>]"
ABT,https://seekingalpha.com/article/3589626-abbott-laboratories-abt-miles-d-white-q3-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.54 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $5.15B (+ 1.0% Y/Y) <span class=""green""> beats by $10M</span></div>\n</div>]"
ABT,https://seekingalpha.com/article/3347415-abbott-laboratories-abt-miles-d-white-on-q2-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.52 <span class=""green"">beats by $0.02</span></div>\n<div>Revenue of $5.17B (+ 2.2% Y/Y) <span class=""green""> beats by $20M</span></div>\n</div>]"
ABT,https://seekingalpha.com/article/3091176-abbott-laboratories-abt-ceo-miles-white-on-q1-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.47 <span class=""green"">beats by $0.05</span></div>\n<div>Revenue of $4.9B (+ 2.7% Y/Y) <span class=""green""> beats by $50M</span></div>\n</div>]"
ABT,https://seekingalpha.com/article/2865996-abbott-laboratories-abt-ceo-miles-white-on-q4-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.71 <span class=""green"">beats by $0.04</span></div>\n<div>Revenue of $5.91B (+ 4.4% Y/Y) <span class=""green""> beats by $480M</span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/4066300-abbvie-abbv-q1-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.28 <span class=""green"">beats by $0.02</span></div>\n<div>Revenue of $6.54B (+ 9.7% Y/Y) <span class=""green""> beats by $60M</span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/4040229-abbvies-abbv-ceo-richard-gonzalez-q4-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.2 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $6.8B (+ 6.9% Y/Y) <span class=""red""> misses by $-120M</span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/4016452-abbvies-abbv-ceo-richard-gonzalez-q3-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.21 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $6.4B (+ 7.7% Y/Y) <span class=""red""> misses by $-160M</span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/3993372-abbvie-abbv-richard-gonzalez-q2-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.26 <span class=""green"">beats by $0.06</span></div>\n<div>Revenue of $6.4B (+ 17.0% Y/Y) <span class=""green""> beats by $200M</span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/3969393-abbvie-abbv-richard-gonzalez-q1-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.15 <span class=""green"">beats by $0.02</span></div>\n<div>Revenue of $5.96B (+ 18.3% Y/Y) <span class=""""> </span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/3848266-abbvie-abbv-richard-gonzalez-q4-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.13 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $6.36B (+ 18.4% Y/Y) <span class=""red""> misses by $-30M</span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/3628416-abbvies-abbv-ceo-richard-gonzalez-q3-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.13 <span class=""green"">beats by $0.05</span></div>\n<div>Revenue of $5.94B (+ 18.3% Y/Y) <span class=""green""> beats by $60M</span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/3355705-abbvies-abbv-ceo-richard-gonzalez-on-q2-2015-results-earnings-call-transcript?part=single,[]
ABBV,https://seekingalpha.com/article/3097296-abbvies-abbv-ceo-rick-gonzalez-on-q1-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.94 <span class=""green"">beats by $0.09</span></div>\n<div>Revenue of $5.04B (+ 10.5% Y/Y) <span class=""green""> beats by $60M</span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/2869906-abbvies-abbv-ceo-richard-gonzalez-on-q4-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.89 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $5.45B (+ 6.7% Y/Y) <span class=""green""> beats by $90M</span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/2624915-abbvies-abbv-ceo-rick-gonzalez-on-q3-2014-results-earnings-call-transcript?part=single,[]
ABBV,https://seekingalpha.com/article/2343215-abbvies-abbv-ceo-richard-gonzalez-on-q2-2014-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $0.82 <span class=""green"">beats by $0.06</span></div>\n<div>Revenue of $4.93B (+ 5.1% Y/Y) <span class=""green""> beats by $230M</span></div>\n</div>]"
ABBV,https://seekingalpha.com/article/2166213-abbvies-ceo-discusses-q1-2014-results-earnings-call-transcript?part=single,[]
ABBV,https://seekingalpha.com/article/1984931-abbvies-ceo-discusses-q4-2013-results-earnings-call-transcript?part=single,[]
ABBV,https://seekingalpha.com/article/1774302-abbvies-ceo-discusses-q3-2013-results-earnings-call-transcript?part=single,[]
ACN,https://seekingalpha.com/article/4083306-accentures-acn-ceo-pierre-nanterme-q3-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.52 <span class=""""> </span></div>\n<div>Revenue of $8.87B (+ 5.2% Y/Y) <span class=""green""> beats by $40M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/4057500-accentures-acn-ceo-pierre-nanterme-q2-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.33 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $8.32B (+ 4.7% Y/Y) <span class=""red""> misses by $-20M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/4032012-accentures-acn-ceo-pierre-nanterme-q1-2017-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.58 <span class=""green"">beats by $0.09</span></div>\n<div>Revenue of $8.52B (+ 6.4% Y/Y) <span class=""red""> misses by $-70M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/4009254-accenture-plc-acn-ceo-pierre-nanterme-q4-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.31 <span class=""green"">beats by $0.01</span></div>\n<div>Revenue of $8.49B (+ 7.6% Y/Y) <span class=""green""> beats by $60M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3983958-accentures-acn-ceo-pierre-nanterme-q3-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.41 <span class=""""> </span></div>\n<div>Revenue of $8.43B (+ 8.5% Y/Y) <span class=""green""> beats by $90M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3958736-accentures-acn-ceo-pierre-nanterme-q2-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.34 <span class=""green"">beats by $0.16</span></div>\n<div>Revenue of $7.95B (+ 6.1% Y/Y) <span class=""green""> beats by $230M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3762996-accentures-acn-ceo-pierre-nanterme-q1-2016-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.28 <span class=""red"">misses by $-0.04</span></div>\n<div>Revenue of $8.01B (+ 1.4% Y/Y) <span class=""green""> beats by $90M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3531246-accentures-acn-ceo-pierre-nanterme-q4-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.15 <span class=""green"">beats by $0.03</span></div>\n<div>Revenue of $7.89B (+ 1.4% Y/Y) <span class=""green""> beats by $210M</span></div>\n</div>]"
ACN,https://seekingalpha.com/article/3283865-accentures-acn-ceo-pierre-nanterme-on-q3-2015-results-earnings-call-transcript?part=single,"[<div class=""data-line"">\n<div>EPS of $1.3 <span class=""green"">beats by $0.07</span></div>\n<div>Revenue of $7.77B (+ 0.4% Y/Y) <span class=""green""> beats by $220M</span></div>\n</div>]"
